l1X,l1Y,l2X,l2Y,l3X,l3Y,bsX,bsY
-0.239653698,0.973451327,-0.529926166,-0.914454277,0.411582971,0.855457227,8.543950998,1.298737784
-0.478434658,1.681415929,-0.942556422,-1.445427729,1.001553473,1.445427729,8.607306392,-0.795657496
-1.013946344,2.684365782,-1.532701471,-1.97640118,1.709867169,2.03539823,8.467275374,-1.764493408
-1.904487616,3.687315634,-2.300012218,-2.625368732,2.83238205,2.625368732,8.283574239,2.367306805
-2.972020038,4.513274336,-3.126843658,-3.156342183,3.89589988,3.156342183,8.17035229,-2.833062429
-3.801993332,5.044247788,-4.485695834,-3.864306785,5.078633642,3.392330383,7.980760325,3.289838059
-4.750309822,5.575221239,-5.963589394,-4.336283186,6.202544902,3.510324484,7.830148999,-3.762717476
-5.698277216,5.98820059,-7.145799515,-4.749262537,7.090991604,3.215339233,7.549106917,4.290731042
-6.823759404,6.401179941,-8.565219668,-4.985250737,7.922012183,2.330383481,7.404249424,-4.706620111
-7.889546351,6.637168142,-9.925119129,-5.339233038,8.457000227,1.504424779,6.98885639,5.288062128
-9.369534482,6.873156342,-11.46305702,-5.516224189,8.63730778,0.560471976,6.849662403,-5.623554099
-10.55366462,7.109144543,-12.46862509,-5.634218289,8.819011712,-0.855457227,6.342972807,6.249774246
-11.79679182,7.286135693,-13.5923618,-5.81120944,8.703635824,-1.85840708,6.166613254,-6.589676185
-13.09909061,7.463126844,-14.953134,-5.87020649,8.2922274,-2.802359882,5.611463194,7.173492799
-14.22370006,7.581120944,-16.3139062,-5.92920354,7.998813077,-3.628318584,5.39774939,-7.530016923
-15.11144857,7.640117994,-17.67450385,-6.04719764,7.409191671,-4.336283186,4.751287806,8.116855753
-16.17688642,7.758112094,-19.03562514,-5.98820059,6.878567314,-4.985250737,4.543034683,-8.432364096
-17.12363198,7.758112094,-19.98219616,-6.04719764,6.347593863,-5.516224189,3.805440402,9.037767963
-18.07055209,7.817109145,,,5.579235831,-5.81120944,3.602590479,-9.337733484
-19.37267634,7.935103245,,,4.572795029,-5.634218289,2.859857411,9.869308946
-19.96439231,7.935103245,,,3.446963746,-5.103244838,2.661858871,-10.14596023
,,,,2.61646681,-4.395280236,1.91448135,10.63090723
,,,,1.904662163,-3.805309735,1.720920332,-10.88424429
,,,,1.192508422,-3.097345133,0.969289228,11.33033423
,,,,0.716866524,-2.330383481,0.779809351,-11.56424275
,,,,0.36026601,-1.799410029,0.024269549,11.97147564
,,,,0.002967307,-1.032448378,-0.161405096,-12.20926987
,,,,,,-0.920704146,12.59707423
,,,,,,-1.102757497,-12.80766852
,,,,,,-1.839812607,13.1741015
,,,,,,-2.044178875,-13.38275294
,,,,,,-2.953409061,13.80099532
,,,,,,-2.985715215,-13.9189803
,,,,,,-3.711996114,14.21702486
,,,,,,-3.92729754,-14.43966484
,,,,,,-4.86898333,-14.92537804
,,,,,,-5.38651792,15.10335429
,,,,,,-5.810692112,-15.40331982
,,,,,,-6.331077752,15.58906749
,,,,,,-6.752481367,-15.85406166
,,,,,,-7.275419158,16.00095227
,,,,,,-7.694305111,-16.29314638
,,,,,,-8.219795051,16.42449417
,,,,,,-8.63617484,-16.71668828
,,,,,,-9.164147953,16.84026467
,,,,,,-9.578125042,-17.11303025
,,,,,,-10.10843188,17.23272092
,,,,,,-10.52009824,-17.5016008
,,,,,,-11.05269281,17.61740577
,,,,,,-11.46209442,-17.88239994
,,,,,,-11.99691925,17.9904335
,,,,,,-12.40414809,-18.24377056
,,,,,,-12.94109971,18.34791841
,,,,,,-13.34622475,-18.59736976
,,,,,,-13.88525718,18.69763191
,,,,,,-14.2883359,-18.93931185
,,,,,,-14.82936866,19.03180258
,,,,,,-15.23047004,-19.27348252
,,,,,,-15.77356062,19.3931732
,,,,,,-16.17253903,-19.6296722
,,,,,,-16.71790202,19.80505798
,,,,,,-17.11474982,-19.93793817
,,,,,,-17.61854303,19.93600626
,,,,,,-17.80042739,-20.01565228